company,role,slug,solution_name,agent_summary,modules,first_real_action,source_url
Techtronic Industries,AI Governance & Enablement Lead ANZ,techtronic-industries-ai-governance-enablement-lead-anz,TTI ANZ AI Governance & Enablement Control Plane,"A governed use-case register that moves AI ideas from business request through risk/benefit assessment, approval, enablement, deployment, ownership and measurable value.",DISCOVERY|PRIORITY|GOV|IMPLEMENT|TRAIN|CHAMPIONS|ADOPTION|ROI|WORKFORCE|EXEC,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://au.seek.com/AI-governance-jobs/in-All-Melbourne-VIC
Insentra,AI Adoption Lead,insentra-ai-adoption-lead,Insentra AI Momentum Adoption Control System,"A client-facing system that keeps executive narrative, opportunity pipeline, champions, behaviours, interventions and measurable outcomes connected across the whole adoption programme.",DISCOVERY|PRIORITY|CHAMPIONS|IMPLEMENT|ADOPTION|ROI|CHANGE|EXEC,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://www.insentragroup.com/us/careers/open-opportunities/
Icon Group,Project Trainer - National Heidi AI Adoption,icon-group-project-trainer-national-heidi-ai-adoption,Icon Heidi AI National Adoption System,"A site-by-site clinical adoption system covering readiness, role training, workflow practice, go-live support, issue capture, escalation and adoption outcomes without pretending clinical systems are connected when they are not.",TRAIN|COACH|HELP|IMPLEMENT|ADOPTION|ROI|CHANGE,"Take a real clinical/admin workflow and generate a training, go-live and support plan without making clinical decisions.",https://icongroup.global/en/position/project-trainer-national-heidi-ai-adoption-fixed-term-project-role-1114830/
MinterEllison,Senior Manager Optimisation & AI Enablement,minterellison-senior-manager-optimisation-ai-enablement,MinterEllison People Services AI Optimisation System,"A people-operations workflow engine that identifies repetitive HR/service work, redesigns it with AI and automation, sets quality controls and measures service improvement.",DISCOVERY|PRIORITY|WORKFLOW|AGENT|GOV|IMPLEMENT|ADOPTION|ROI,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://au.seek.com/enablement-jobs/in-All-Sydney-NSW
Thomsons Lawyers,Technology & AI Trainer,thomsons-lawyers-technology-ai-trainer,Thomsons Legal AI Learning & Support System,"A lawyer-facing coach and practice library built around legal research, drafting, document automation, Microsoft tools and safe-use guidance.",COACH|HELP|TRAIN|GOV|LIBRARY|ADOPTION,"Take a legal workflow and return a matter-safe AI workflow, human review points and reusable guidance.",https://au.seek.com/ai-trainer-jobs/in-All-Australia
Team 400,AI Trainer & AI Agent Consultant,team-400-ai-trainer-ai-agent-consultant,Team 400 Agent Delivery & Adoption Workbench,"A consultant workbench that moves from client process interview to working agent design, training plan, adoption support and value evidence.",DISCOVERY|WORKFLOW|AGENT|TRAIN|COACH|IMPLEMENT|ADOPTION|ROI,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://au.seek.com/ai-trainer-jobs/in-All-Australia
Epiphany Training + Consulting,AI Consultant,epiphany-training-consulting-ai-consultant,Epiphany Client AI Learning Studio,"A system that converts a client's roles and actual work into tailored workshops, practice tasks, safe-use guidance and post-training adoption evidence.",DISCOVERY|TRAIN|COACH|GOV|LIBRARY|ADOPTION|ROI,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://au.seek.com/ai-trainer-jobs/in-All-Australia
Australian Retirement Trust,Manager - AI Governance,australian-retirement-trust-manager-ai-governance,ART Responsible AI Governance System,"A decision and assurance layer for every AI use case: purpose, data, risk, approval, controls, owner, monitoring and responsible-adoption evidence.",GOV|PRIORITY|IMPLEMENT|WORKFORCE|ADOPTION|ROI|EXEC|RADAR,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://au.seek.com/ai-governance-jobs/in-All-Australia
Australian Retirement Trust,AI Governance Specialist,australian-retirement-trust-ai-governance-specialist,ART AI Governance Specialist Workbench,"The operational side of governance: intake, risk assessment, evidence, approvals, control testing, policy guidance and audit-ready records.",GOV|IMPLEMENT|WORKFORCE|LIBRARY|RADAR,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://au.seek.com/ai-governance-jobs/in-All-Australia
Australian Financial Complaints Authority,"Manager, AI Governance",australian-financial-complaints-authority-manager-ai-governance,AFCA AI Governance & Assurance System,"A governance system designed around high-accountability decision environments: use-case register, assurance evidence, human review, audit trail and continuous control improvement.",GOV|IMPLEMENT|WORKFORCE|ADOPTION|ROI|EXEC,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://au.seek.com/ai-governance-jobs
Great Southern Bank,Data and AI Governance Specialist,great-southern-bank-data-and-ai-governance-specialist,Great Southern Bank Data + AI Governance System,"A joined-up data-and-AI control layer that makes source data, AI purpose, quality, risk, policy, approvals and ongoing accountability visible in one record.",GOV|IMPLEMENT|WORKFORCE|LIBRARY|EXEC,"Take a business/change workflow and return opportunity, controls, workflow design and measurable outcomes.",https://au.seek.com/artificial-intelligence-governance-jobs
NSW Department of Customer Service,"Manager, Data & AI Governance",nsw-department-of-customer-service-manager-data-ai-governance,NSW DCS Trusted AI Governance System,"A public-sector AI governance system that makes public interest, data stewardship, risk, human oversight, approvals and auditability explicit before deployment.",GOV|PRIORITY|IMPLEMENT|WORKFORCE|EXEC|RADAR,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://au.seek.com/ai-governance-jobs/in-All-Australia
Central Land Council,PM009 - AI Specialist,central-land-council-pm009-ai-specialist,CLC AI Governance & Operations System,"A combined governance and operations control plane: use-case intake, risk, integrations, approvals, deployed tools, owners, incidents, performance and safe-use guidance.",DISCOVERY|GOV|IMPLEMENT|WORKFORCE|HELP|ADOPTION|ROI,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://au.seek.com/ai-governance-jobs/in-All-Australia
City of Stonnington,AI Enablement Lead,city-of-stonnington-ai-enablement-lead,Stonnington Practical AI Enablement System,"A council-ready system for finding service/admin use cases, coaching staff, applying responsible-use controls and showing which changes actually improve service delivery.",DISCOVERY|WORKFLOW|COACH|TRAIN|GOV|ADOPTION|ROI|CHANGE,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://au.seek.com/artificial-intelligence-governance-jobs/in-All-Australia
"Wesfarmers Chemicals, Energy & Fertilisers",Digital Enablement Specialist (AI Transformation),wesfarmers-chemicals-energy-fertilisers-digital-enablement-specialist-ai-transfo,WesCEF AI Transformation Enablement System,"An industrial transformation pipeline that links business opportunity, workflow redesign, governance, rollout, adoption and value evidence.",DISCOVERY|PRIORITY|WORKFLOW|GOV|IMPLEMENT|ADOPTION|ROI|CHANGE,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://au.seek.com/ai-governance-jobs/in-All-Australia
"Victorian Department of Energy, Environment and Climate Action",AI & Data Lead,victorian-department-of-energy-environment-and-climate-action-ai-data-lead,DEECA Trusted AI & Data Delivery System,"A portfolio system for government AI and data solutions: problem, data, governance, delivery path, owner, outcome and continuous improvement.",DISCOVERY|PRIORITY|GOV|IMPLEMENT|WORKFORCE|ROI|EXEC,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://au.seek.com/artificial-intelligence-governance-jobs/in-All-Australia
"Victorian Department of Energy, Environment and Climate Action",Artificial Intelligence (AI) Technical Specialist,victorian-department-of-energy-environment-and-climate-action-artificial-intelli,DEECA AI Service Enablement Workbench,"A technical enablement layer for approved AI services: tool catalogue, guidance, patterns, integration notes, issues, change log and business-unit support.",WORKFLOW|AGENT|HELP|GOV|LIBRARY|RADAR|IMPLEMENT,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://au.seek.com/artificial-intelligence-governance-jobs/in-All-Australia
City of Whittlesea,AI Solutions Officer,city-of-whittlesea-ai-solutions-officer,Whittlesea AI Service Improvement System,"A council service-improvement engine: start with service pain points, design a safe AI workflow, pilot it with staff and measure whether the resident/staff experience improves.",DISCOVERY|PRIORITY|WORKFLOW|AGENT|GOV|IMPLEMENT|ADOPTION|ROI,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://au.seek.com/ai-policy-jobs/in-All-Melbourne-VIC
Australian Renewable Energy Agency (ARENA),Applications and AI Lead,australian-renewable-energy-agency-arena-applications-and-ai-lead,ARENA Applications + AI Value System,"A roadmap system that links enterprise applications, AI opportunities, owners, dependencies, vendors, delivery work and business value.",DISCOVERY|PRIORITY|VENDOR|IMPLEMENT|WORKFORCE|ROI|EXEC|RADAR,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://au.seek.com/Enterprise-Ai-jobs/in-All-Sydney-NSW
CBRE Advisory,AI Analytics Lead,cbre-advisory-ai-analytics-lead,CBRE AI Analytics & Opportunity System,"An analytics-led companion to the adoption role: identify high-value AI opportunities, test impact hypotheses and feed validated patterns back into adoption.",DISCOVERY|PRIORITY|WORKFLOW|ROI|EXEC|RADAR,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://au.seek.com/CBRE-jobs/in-Sydney-NSW-2000
RSM Australia,Data Analytics & AI Manager,rsm-australia-data-analytics-ai-manager,RSM Analytics + AI Value Delivery System,"A consulting delivery system connecting client problem, analytics/AI solution, governance, adoption, evidence and measurable business impact.",DISCOVERY|PRIORITY|WORKFLOW|GOV|IMPLEMENT|ADOPTION|ROI|EXEC,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://au.seek.com/Data-%26-AI-Governance-jobs/in-All-Sydney-NSW
