company,role,sector,location,status,verified_on,source_type,source_url,need,solution_name,custom_angle,page_slug,priority,public_page
CBRE Asia Pacific,AI Adoption Lead,Real Estate / Advisory,Sydney NSW / hybrid,Live,2026-08-25,LinkedIn,https://au.linkedin.com/jobs/view/ai-adoption-lead-at-cbre-asia-pacific-4452980768,"Make the Pacific AI roadmap real by delivering sessions and communications, sitting with business teams, understanding what works and fixing what does not.",CBRE Pacific AI Adoption Field System,"A field-facing adoption layer for property and advisory teams: capture real use cases, coach teams, publish working patterns, collect friction and close the loop to the AI roadmap.",cbre-asia-pacific-ai-adoption-lead,A,Yes
Deloitte Australia,AI Value & Adoption Lead - Director,Consulting,Melbourne VIC,Live,2026-08-25,Direct employer,https://jobs.deloitte.com.au/job/Melbourne-AI-Value-%26-Adoption-Lead-Director-VIC/1366035966/,"Set the AI value agenda for strategic clients, size and prioritise opportunity, direct delivery and hold teams accountable for adoption and benefit realisation.",Deloitte AI Value Realisation System,"A portfolio-level control system that links every AI initiative to a value hypothesis, accountable owner, adoption evidence, realised benefit, risk and next executive decision.",deloitte-australia-ai-value-adoption-lead-director,A,Yes
David Jones,AI Capability & Enablement Lead,Retail,Melbourne VIC / hybrid,Live,2026-08-25,Indeed,https://au.indeed.com/viewjob?jk=148ec76e4d12e141,"Lead AI capability uplift across a large workforce, embed practical AI literacy, design learning frameworks and measure adoption and impact from stores to executives.",David Jones Workforce AI Capability System,"A role-based capability system with different AI pathways for stores, support office, merchandising, people teams and executives, connected to real work and measured adoption.",david-jones-ai-capability-enablement-lead,A,Yes
Techtronic Industries,AI Governance & Enablement Lead ANZ,Consumer / Industrial Products,Notting Hill VIC / hybrid,Live,2026-08-25,SEEK,https://au.seek.com/AI-governance-jobs/in-All-Melbourne-VIC,"Bring structure and accountability to AI governance and enablement while driving adoption, efficiency and business value across ANZ.",TTI ANZ AI Governance & Enablement Control Plane,"A governed use-case register that moves AI ideas from business request through risk/benefit assessment, approval, enablement, deployment, ownership and measurable value.",techtronic-industries-ai-governance-enablement-lead-anz,A,Yes
Insentra,AI Adoption Lead,Technology Consulting,Australia / remote,Live,2026-08-25,Direct employer,https://www.insentragroup.com/us/careers/open-opportunities/,Lead enterprise client adoption from opportunity discovery and executive alignment through sustained measurable capability and outcomes.,Insentra AI Momentum Adoption Control System,"A client-facing system that keeps executive narrative, opportunity pipeline, champions, behaviours, interventions and measurable outcomes connected across the whole adoption programme.",insentra-ai-adoption-lead,A,Yes
Icon Group,Project Trainer - National Heidi AI Adoption,Healthcare / Cancer Care,National Australia,Live,2026-08-25,Direct employer,https://icongroup.global/en/position/project-trainer-national-heidi-ai-adoption-fixed-term-project-role-1114830/,"Roll out Heidi AI across 50+ sites with training, one-to-one coaching, workflow guidance, go-live support, barrier identification and outcome monitoring.",Icon Heidi AI National Adoption System,"A site-by-site clinical adoption system covering readiness, role training, workflow practice, go-live support, issue capture, escalation and adoption outcomes without pretending clinical systems are connected when they are not.",icon-group-project-trainer-national-heidi-ai-adoption,A,Yes
MinterEllison,Senior Manager Optimisation & AI Enablement,Law Firm / Professional Services,Sydney NSW / hybrid,Live,2026-08-25,SEEK,https://au.seek.com/enablement-jobs/in-All-Sydney-NSW,"Lead AI-enabled People Services transformation by optimising platforms, workflows and employee experience.",MinterEllison People Services AI Optimisation System,"A people-operations workflow engine that identifies repetitive HR/service work, redesigns it with AI and automation, sets quality controls and measures service improvement.",minterellison-senior-manager-optimisation-ai-enablement,A,Yes
Thomsons Lawyers,Technology & AI Trainer,Law Firm,Canberra ACT,Recent / expiring,2026-08-25,SEEK,https://au.seek.com/ai-trainer-jobs/in-All-Australia,Train and support legal staff in technology and AI with a practical service-oriented approach.,Thomsons Legal AI Learning & Support System,"A lawyer-facing coach and practice library built around legal research, drafting, document automation, Microsoft tools and safe-use guidance.",thomsons-lawyers-technology-ai-trainer,A,Yes
Team 400,AI Trainer & AI Agent Consultant,AI Consulting,Sydney / Brisbane,Live,2026-08-25,SEEK,https://au.seek.com/ai-trainer-jobs/in-All-Australia,"Build practical AI agents and workflows and help business teams understand, adopt and use them properly through training.",Team 400 Agent Delivery & Adoption Workbench,"A consultant workbench that moves from client process interview to working agent design, training plan, adoption support and value evidence.",team-400-ai-trainer-ai-agent-consultant,B,Yes
Epiphany Training + Consulting,AI Consultant,AI Training / Consulting,Sydney NSW,Live,2026-08-25,SEEK,https://au.seek.com/ai-trainer-jobs/in-All-Australia,"Create tailored AI training, practical workshops and responsible adoption support for businesses.",Epiphany Client AI Learning Studio,"A system that converts a client's roles and actual work into tailored workshops, practice tasks, safe-use guidance and post-training adoption evidence.",epiphany-training-consulting-ai-consultant,B,Yes
Australian Retirement Trust,Manager - AI Governance,Superannuation,Brisbane QLD / hybrid,Live,2026-08-25,SEEK,https://au.seek.com/ai-governance-jobs/in-All-Australia,"Lead AI governance capability and framework, partner with risk/legal/technology and shape responsible enterprise AI adoption.",ART Responsible AI Governance System,"A decision and assurance layer for every AI use case: purpose, data, risk, approval, controls, owner, monitoring and responsible-adoption evidence.",australian-retirement-trust-manager-ai-governance,A,Yes
Australian Retirement Trust,AI Governance Specialist,Superannuation,Brisbane QLD / hybrid,Live,2026-08-25,SEEK,https://au.seek.com/ai-governance-jobs/in-All-Australia,"Influence AI governance across a major organisation and support ethical, compliant and trusted AI innovation.",ART AI Governance Specialist Workbench,"The operational side of governance: intake, risk assessment, evidence, approvals, control testing, policy guidance and audit-ready records.",australian-retirement-trust-ai-governance-specialist,B,Yes
Australian Financial Complaints Authority,"Manager, AI Governance",Financial Ombudsman / Regulation,Melbourne VIC / hybrid,Live,2026-08-25,SEEK,https://au.seek.com/ai-governance-jobs,"Design, implement and improve an AI governance and assurance framework while shaping how AI is adopted.",AFCA AI Governance & Assurance System,"A governance system designed around high-accountability decision environments: use-case register, assurance evidence, human review, audit trail and continuous control improvement.",australian-financial-complaints-authority-manager-ai-governance,A,Yes
Great Southern Bank,Data and AI Governance Specialist,Banking,Brisbane QLD / hybrid,Live,2026-08-25,SEEK,https://au.seek.com/artificial-intelligence-governance-jobs,"Shape data and AI governance, responsible-AI practices, data quality and regulatory compliance across strategic initiatives.",Great Southern Bank Data + AI Governance System,"A joined-up data-and-AI control layer that makes source data, AI purpose, quality, risk, policy, approvals and ongoing accountability visible in one record.",great-southern-bank-data-and-ai-governance-specialist,B,Yes
NSW Department of Customer Service,"Manager, Data & AI Governance",Government,Sydney NSW / hybrid,Live,2026-08-25,SEEK,https://au.seek.com/ai-governance-jobs/in-All-Australia,"Balance innovation, compliance and public trust while shaping Data & AI governance.",NSW DCS Trusted AI Governance System,"A public-sector AI governance system that makes public interest, data stewardship, risk, human oversight, approvals and auditability explicit before deployment.",nsw-department-of-customer-service-manager-data-ai-governance,A,Yes
Central Land Council,PM009 - AI Specialist,Indigenous Organisation / Public Purpose,Alice Springs NT,Live,2026-08-25,SEEK,https://au.seek.com/ai-governance-jobs/in-All-Australia,"Lead AI governance, risk management, integration and operations for secure, compliant and effective use of AI.",CLC AI Governance & Operations System,"A combined governance and operations control plane: use-case intake, risk, integrations, approvals, deployed tools, owners, incidents, performance and safe-use guidance.",central-land-council-pm009-ai-specialist,B,Yes
City of Stonnington,AI Enablement Lead,Local Government,Malvern VIC / hybrid,Recent / expiring,2026-08-25,SEEK,https://au.seek.com/artificial-intelligence-governance-jobs/in-All-Australia,"Help council adopt AI in a practical, responsible and people-focused way.",Stonnington Practical AI Enablement System,"A council-ready system for finding service/admin use cases, coaching staff, applying responsible-use controls and showing which changes actually improve service delivery.",city-of-stonnington-ai-enablement-lead,B,Yes
"Wesfarmers Chemicals, Energy & Fertilisers",Digital Enablement Specialist (AI Transformation),Industrial / Resources,Perth WA,Live,2026-08-25,SEEK,https://au.seek.com/ai-governance-jobs/in-All-Australia,Support a pivotal Digital AI journey with digital enablement and strong AI governance.,WesCEF AI Transformation Enablement System,"An industrial transformation pipeline that links business opportunity, workflow redesign, governance, rollout, adoption and value evidence.",wesfarmers-chemicals-energy-fertilisers-digital-enablement-specialist-ai-transfo,B,Yes
"Victorian Department of Energy, Environment and Climate Action",AI & Data Lead,State Government,Melbourne VIC / hybrid,Recent / expiring,2026-08-25,SEEK,https://au.seek.com/artificial-intelligence-governance-jobs/in-All-Australia,"Lead AI, data and analytics capability and deliver secure, trusted AI and data solutions with strong governance.",DEECA Trusted AI & Data Delivery System,"A portfolio system for government AI and data solutions: problem, data, governance, delivery path, owner, outcome and continuous improvement.",victorian-department-of-energy-environment-and-climate-action-ai-data-lead,B,Yes
"Victorian Department of Energy, Environment and Climate Action",Artificial Intelligence (AI) Technical Specialist,State Government,Melbourne VIC / hybrid,Recent / expiring,2026-08-25,SEEK,https://au.seek.com/artificial-intelligence-governance-jobs/in-All-Australia,"Drive innovation, governance and continuous improvement across AI services and guide business units in using AI tools.",DEECA AI Service Enablement Workbench,"A technical enablement layer for approved AI services: tool catalogue, guidance, patterns, integration notes, issues, change log and business-unit support.",victorian-department-of-energy-environment-and-climate-action-artificial-intelli,B,Yes
City of Whittlesea,AI Solutions Officer,Local Government,South Morang VIC,Recent / expiring,2026-08-25,SEEK,https://au.seek.com/ai-policy-jobs/in-All-Melbourne-VIC,"Deliver innovative AI solutions, drive adoption and improve services for the community.",Whittlesea AI Service Improvement System,"A council service-improvement engine: start with service pain points, design a safe AI workflow, pilot it with staff and measure whether the resident/staff experience improves.",city-of-whittlesea-ai-solutions-officer,B,Yes
Australian Renewable Energy Agency (ARENA),Applications and AI Lead,Federal Agency / Energy,Sydney / Melbourne / Canberra,Live,2026-08-25,SEEK,https://au.seek.com/Enterprise-Ai-jobs/in-All-Sydney-NSW,Own enterprise applications and AI roadmap and turn applications and AI into business value.,ARENA Applications + AI Value System,"A roadmap system that links enterprise applications, AI opportunities, owners, dependencies, vendors, delivery work and business value.",australian-renewable-energy-agency-arena-applications-and-ai-lead,B,Yes
CBRE Advisory,AI Analytics Lead,Real Estate / Advisory,Sydney NSW / hybrid,Live,2026-08-25,SEEK,https://au.seek.com/CBRE-jobs/in-Sydney-NSW-2000,Help shape CBRE's AI transformation as an AI subject-matter expert with senior leadership exposure.,CBRE AI Analytics & Opportunity System,"An analytics-led companion to the adoption role: identify high-value AI opportunities, test impact hypotheses and feed validated patterns back into adoption.",cbre-advisory-ai-analytics-lead,B,Yes
RSM Australia,Data Analytics & AI Manager,Accounting / Advisory,Sydney NSW / hybrid,Live,2026-08-25,SEEK,https://au.seek.com/Data-%26-AI-Governance-jobs/in-All-Sydney-NSW,"Lead strategy, development and adoption of advanced analytics and AI while delivering business impact and risk-focused advisory work.",RSM Analytics + AI Value Delivery System,"A consulting delivery system connecting client problem, analytics/AI solution, governance, adoption, evidence and measurable business impact.",rsm-australia-data-analytics-ai-manager,B,Yes
Hays client (unnamed),Technology & AI Trainer,Enterprise / Anonymous,Canberra ACT / hybrid,Recent / expiring,2026-08-25,SEEK,https://au.seek.com/ai-trainer-jobs/in-All-Australia,Lead AI adoption and digital transformation initiatives and shape workplace technology capability.,Enterprise AI Capability System,"Research-only anonymous brief: role-based training, workflow discovery, practical support and adoption tracking.",hays-client-unnamed-technology-ai-trainer,C,No
Private ASX 150 organisation,"AI Academy Lead | AI Training, Adoption & Enablement",Large Enterprise / Anonymous,Sydney NSW / hybrid,Live,2026-08-25,SEEK,https://au.seek.com/ai-trainer-jobs/in-All-Australia,"Establish and lead a new enterprise AI capability function covering training, adoption and enablement.",Enterprise AI Academy + Adoption System,"Research-only anonymous brief: role capability framework, AI academy, practice labs, champions, use-case library and measurable on-the-job adoption.",private-asx-150-organisation-ai-academy-lead-ai-training-adoption-enablement,B,No
empire group client (national law firm),Legal AI Lead,Law Firm / Anonymous client,Melbourne VIC,Live,2026-08-25,SEEK / recruiter,https://au.seek.com/legal-ai-jobs,"Lead AI strategy and adoption across a national law firm, including training, governance, legal innovation and workflow optimisation.",National Law Firm Legal AI Operating System,"Research-only anonymous brief: legal workflow discovery, matter-safe AI guidance, agent/prompt library, lawyer training, governance and adoption/value tracking.",empire-group-client-national-law-firm-legal-ai-lead,B,No
empire group client (national law firm),Legal AI Engineer,Law Firm / Anonymous client,Sydney / Melbourne / Brisbane,Live,2026-08-25,SEEK / recruiter,https://au.seek.com/legal-ai-jobs,"Build AI-powered legal workflows, prompts and tools and support adoption and efficiency.",Legal AI Workflow & Agent Engineering Workbench,"Research-only anonymous brief: build, test, version and publish approved legal workflows/agents with governance, owners and user feedback.",empire-group-client-national-law-firm-legal-ai-engineer,B,No
empire group client (leading law firm),Technology Trainer x2,Law Firm / Anonymous client,Sydney NSW,Recent / expiring,2026-08-25,SEEK / recruiter,https://au.seek.com/trainee-ai-trainer-jobs/in-Sydney-NSW-2000,"Train Microsoft 365, AI and legal technology in a leading law firm.",Legal Technology Training & Support System,"Research-only anonymous brief: role-based legal tech learning, practice tasks, help desk, safe-use guidance and adoption evidence.",empire-group-client-leading-law-firm-technology-trainer-x2,C,No
Private commercial law firm,Legal AI Lead,Law Firm / Anonymous,Melbourne VIC,Live,2026-08-25,SEEK,https://au.seek.com/ai-prompt-jobs/in-All-Australia,Lead AI adoption and integration across a premier Australian commercial law firm.,Commercial Law AI Adoption System,"Research-only anonymous brief: practice-group workflow discovery, legal AI coach, agent/prompt builder, governance, rollout and value tracking.",private-commercial-law-firm-legal-ai-lead,B,No
Talent client (government agency),AI Enablement Lead,Government / Anonymous client,Melbourne VIC / hybrid,Recent / expiring,2026-08-25,SEEK / recruiter,https://au.seek.com/AI-governance-jobs/in-All-Melbourne-VIC,"Establish and embed a safe, ethical and effective approach to AI while leading responsible AI strategy and adoption.",Government Responsible AI Enablement System,"Research-only anonymous brief: policy, governance, readiness, staff guidance, use-case intake, approvals and adoption measurement.",talent-client-government-agency-ai-enablement-lead,C,No
Talent client,AI Enablement Engineer,Enterprise / Anonymous client,Sydney NSW / hybrid,Recent,2026-08-25,SEEK / recruiter,https://au.seek.com/enablement-jobs/in-All-Sydney-NSW,"Build Microsoft Copilot, Power Platform and Azure AI solutions while driving enterprise AI adoption.",Microsoft AI Enablement Engineering Workbench,"Research-only anonymous brief: discover use cases, build Copilot/Power Platform solutions, govern them, publish patterns and support adoption.",talent-client-ai-enablement-engineer,C,No
